Article Name,Topic_0,Topic_2,Topic_5,Topic_1,Topic_4,Topic_3
Supply chain management A case study of issues for BioAg,0.5377883315086365,0.13831889629364014,0.22009357810020447,,,
Changing governance of supply chains in the building industry A multiple case study,0.3336150646209717,0.11415021866559982,0.498567670583725,,,
Upstream volatility in the supply chain The machine tool industry as a case study,0.2057669758796692,0.726654589176178,,,,
Amplification in service supply chains An exploratory case study from the telecom industry,0.25766363739967346,0.6239166855812073,,,,
Evaluating the integration of supply chain information systems A case study,0.4396049678325653,,0.5164045691490173,,,
Concurrent trajectory and vehicle optimization A case study of earth-moon supply chain logistics,,0.14131543040275574,0.17378054559230804,0.546769917011261,0.1308296173810959,
Controlling inventories in a supply chain A case study,,0.6372109651565552,,0.3465838134288788,,
Relationships within the supply chain A case study,0.5230319499969482,,,,,0.38659074902534485
Case-study How to implement collaborative software supply-chains Lessons learned from the task-initiative,0.45091962814331055,,0.42094019055366516,,,
Modularity in supply chains A multiple case study in the construction industry,0.19892555475234985,0.13461320102214813,0.5852715969085693,,,
A case study using modeling & simulation to predict logistics supply chain issues,,0.7217652201652527,,,,
Applying advanced planning systems for supply chain planning Three case studies,0.205118790268898,0.3290446698665619,,0.33080971240997314,,
Minimizing product shrinkage using radio frequency identification A case study on a major Australian retailer,,0.46520039439201355,0.2790515720844269,,,0.14524520933628082
Assessing the rigor of case study research in supply chain management,0.5705206394195557,,0.2768898010253906,,,
"Optimisation of fresh-food supply chains in uncertain environments, Part II A case study",,0.19225259125232697,,0.3639686107635498,0.22020407021045685,0.20106664299964905
Supply chain management for servitised products A multi-industry case study,0.2991412580013275,0.4543847441673279,0.20281857252120972,,,
Supply chain system integration in retailing A case study of LianHua,0.20951461791992188,0.30409732460975647,0.3654416501522064,,,
Transforming supply chains in digital content delivery A case study in apple,0.30323880910873413,0.30872440338134766,0.22974053025245667,,,0.15591108798980713
Assessment of supply chain energy efficiency potentials A U.S. case study,,,,,0.7570887804031372,
Managing functional biases in organizational forecasts A case study in supply chain planning,0.3802742063999176,0.3474535644054413,0.25856903195381165,,,
The effect of institutional innovations on food chain governance A case study on the shifting role,0.29587677121162415,,0.38755905628204346,,,0.3045446574687958
Case study Optimizing order fulfillment in a global retail supply chain,0.1780376434326172,0.7286414504051208,,,,
Coordination in supply chains From case studies to reference models,0.6347733736038208,0.20170937478542328,0.12456271797418594,,,
Study on the sustainable competitive advantages of the managing skills,0.7626643180847168,,,,,
The influence of power in supply chain innovation A case study of the Dutch wheat chain,0.6369868516921997,,,,,0.3326531946659088
A case study of a leather upholstery company,,0.1383817344903946,0.12833237648010254,0.2893718183040619,0.3911741077899933,
A case study of the sugar cane industry in argentina,,,,0.5248978734016418,0.39849817752838135,
An automotive manufacturing case study,0.1748083382844925,0.4749516248703003,0.3089730441570282,,,
An exploratory study of long supply chain competition Selected cases in the South African aerospace sector,0.6408058404922485,0.32913845777511597,,,,
An ontological approach for strategic alignment A supply chain operations reference case study,0.4603939950466156,0.22336329519748688,0.22404387593269348,,,
An RFID application in the food supply chain A case study of convenience stores in Taiwan,,,0.46830761432647705,0.12008194625377655,,0.2844044268131256
Optimization of biodiesel supply chains based on small farmers A case study in Brazil,,,,0.43426644802093506,0.13740955293178558,0.3733339011669159
Organic supply chain collaboration A case study in eight EU countries,0.6598791480064392,0.15304937958717346,,,,0.14788585901260376
The impacts of product design changes on supply chain risk A case study,0.46427032351493835,0.4456402361392975,,,,
A case study of an edible vegetable oils manufacturer,,,,0.7603386640548706,,
Customer Enquiry Management in global supply chains A comparative multi-case study analysis,0.6264628171920776,0.2951265871524811,,,,
Indonesian construction supply chains cost structure and factor A case study of two projects,0.371858149766922,0.17527833580970764,0.3794969618320465,,,
Innovation and sustainability in the supply chain of a cosmetics company A case study,0.7741023302078247,,,,0.1151619404554367,
The investigation of supply chain's reliability measure a case study,0.11966028064489365,0.8412259221076965,,,,
Two Case Studies in the British-South African Fresh Fruit Supply Chain,0.6961105465888977,,,,,0.26245754957199097
A case study from cable industry,,0.5720621347427368,,0.3720093071460724,,
A case study from the automotive industry,,0.4490417242050171,0.15088880062103271,0.19537200033664703,0.12144036591053009,
A case study from the Peruvian commercial charcoal market,0.1056443378329277,,,,0.21721705794334412,0.5347228050231934
A case study of sensor data collection and analysis in smart city,,0.22843199968338013,0.313658207654953,0.1645931452512741,,0.28847768902778625
A case study of Tehran,,,,0.7599964141845703,,0.1938130408525467
case study (Mashhad Behrouz Company),,0.4260292649269104,,0.5432900190353394,,
Evaluation of cost-effectiveness criteria in supply chain management Case study,,0.6681755781173706,,0.2562798261642456,,
Exploring the impact of ICT in CPFR A case study of an APS system in a Norwegian pharmacy supply chain,0.345783531665802,0.42404770851135254,0.22958603501319885,,,
Managing the innovation adoption of supply chain finance Empirical evidence from six european case studies,0.8196235299110413,,0.12707051634788513,,,
Petrochemical supply chain case study Shazand petrochemical complex,0.12354696542024612,,,,0.7162797451019287,
Quality control and supply chain management A contextual perspective and a case study,0.6237438917160034,0.108211450278759,,,,0.20312641561031342
"Revenue sharing in dairy industry supply chain a case study of Hohhot, China",0.10160505771636963,,0.17033827304840088,0.26148292422294617,,0.43224385380744934
Supply chain of human organs A case study in hospital complex in sorocaba,0.23833027482032776,0.45497339963912964,,0.10702858120203018,,
Total Cost of Ownership for scm A case study in an OEM of the automotive industry,0.3931122124195099,0.4051605761051178,,,,
Towards a distributed framework for transportation planning A food supply chain case study,,0.5188376307487488,,0.2632367014884949,,
A case study of protein products manufacturing company,0.1945936679840088,0.5301014184951782,,0.17362092435359955,,
